season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,03/10/20,1864,portugal,Porto,Maritimo,76.53,41.44,0.8812,0.0194,0.0994,2.6,0.22,87.8,24.1,2.0,3.0,0,0,1,2,3,1,1,32,10,19,9,2,0,1,0,0,3,1,2,1,11,4,16,0,4,0
2020,03/10/20,1864,portugal,Tondela,Sp Braga,43.24,59.77,0.2846,0.467,0.2484,1.18,1.59,30.7,43.1,0.0,4.0,0,0,1,0,4,4,0,13,4,13,5,1,0,1,0,0,4,4,0,0,18,8,15,8,0,0
2020,04/10/20,1864,portugal,Nacional,Belenenses,42.55,39.61,0.4804,0.2523,0.2673,1.43,0.96,30.5,34.9,0.0,0.0,0,1,0,0,0,0,0,18,4,9,7,1,0,0,1,0,0,0,0,0,7,2,15,2,2,0
2020,04/10/20,1864,portugal,Famalicao,Rio Ave,44.48,52.79,0.3651,0.3653,0.2695,1.25,1.25,22.9,26.8,1.0,1.0,0,1,0,1,1,0,1,13,5,11,3,2,0,0,1,0,1,0,1,1,13,4,9,5,0,0
2020,04/10/20,1864,portugal,Benfica,Farense,77.02,40.81,0.8761,0.0283,0.0955,2.83,0.36,77.2,36.9,3.0,2.0,1,0,0,3,2,0,1,12,7,12,3,3,0,0,0,1,2,0,3,1,14,9,12,2,3,0
2020,04/10/20,1864,portugal,Portimonense,Sp Lisbon,45.11,60.73,0.2675,0.4602,0.2723,0.98,1.38,26.1,61.7,0.0,2.0,0,0,1,0,2,2,0,14,6,17,7,1,0,1,0,0,2,2,0,0,10,4,20,2,1,0
2020,17/10/20,1864,portugal,Gil Vicente,Tondela,43.78,41.57,0.466,0.2621,0.2719,1.39,0.97,28.6,37.0,1.0,1.0,0,1,0,1,1,0,1,13,4,17,5,2,0,0,1,2,2,2,7,6,41,12,44,14,4,0
2020,17/10/20,1864,portugal,Maritimo,Portimonense,42.48,44.16,0.4266,0.2955,0.2779,1.3,1.03,25.6,32.7,1.0,2.0,2,0,1,5,5,2,3,31,12,52,6,9,1,0,1,2,1,0,4,3,39,11,52,18,5,0
2020,17/10/20,1864,portugal,Sp Braga,Nacional,61.48,42.22,0.6829,0.1269,0.1902,2.14,0.8,54.7,25.5,2.0,1.0,1,0,2,5,4,3,5,47,13,46,17,2,0,1,2,0,4,2,3,2,41,15,48,18,9,0
2020,17/10/20,1864,portugal,Sp Lisbon,Porto,61.67,75.86,0.2946,0.4514,0.2541,1.18,1.52,66.1,79.1,2.0,2.0,0,1,0,2,2,2,1,13,5,18,4,5,1,2,0,1,10,3,4,2,58,20,55,16,2,0
2020,18/10/20,1864,portugal,Belenenses,Moreirense,39.97,42.44,0.4316,0.2819,0.2865,1.25,0.95,39.0,28.9,0.0,0.0,1,1,1,2,2,0,1,21,10,52,9,9,0,1,1,1,3,1,3,2,32,12,42,10,3,0
2020,18/10/20,1864,portugal,Pacos Ferreira,Santa Clara,44.11,47.13,0.4327,0.2943,0.273,1.34,1.06,32.3,19.9,2.0,1.0,0,1,2,1,4,1,1,41,12,62,20,3,0,2,1,0,3,1,0,0,30,9,46,13,7,0
2020,18/10/20,1864,portugal,Farense,Famalicao,43.05,44.3,0.4568,0.2884,0.2548,1.52,1.15,38.4,23.4,3.0,3.0,0,0,3,2,6,2,0,42,15,36,19,8,1,1,1,1,4,1,7,4,25,9,49,8,8,0
2020,18/10/20,1864,portugal,Rio Ave,Benfica,52.95,75.3,0.2042,0.5703,0.2256,1.02,1.85,29.9,76.3,0.0,3.0,0,3,0,2,2,2,0,34,11,33,15,2,0,3,0,0,10,5,3,0,54,24,33,17,7,0
2020,19/10/20,1864,portugal,Boavista,Guimaraes,40.13,54.36,0.3178,0.3941,0.2881,1.04,1.19,36.8,26.6,0.0,1.0,0,2,1,4,9,2,3,35,12,59,10,5,0,1,1,1,1,0,1,0,29,6,41,13,8,0
2020,23/10/20,1864,portugal,Tondela,Portimonense,40.75,45.04,0.4201,0.3012,0.2787,1.29,1.04,42.0,27.8,1.0,0.0,0,1,2,2,7,7,1,36,11,47,14,6,1,1,0,2,2,0,4,2,37,11,49,20,6,0
2020,24/10/20,1864,portugal,Nacional,Pacos Ferreira,42.05,44.13,0.4423,0.2943,0.2634,1.43,1.11,37.0,26.7,1.0,1.0,1,1,1,2,2,2,0,32,10,39,14,9,0,1,0,2,2,1,4,1,37,10,61,18,4,0
2020,24/10/20,1864,portugal,Santa Clara,Sp Lisbon,47.12,61.77,0.2716,0.4618,0.2666,1.03,1.42,18.3,60.2,1.0,2.0,1,1,1,2,2,1,1,33,9,47,10,7,0,2,1,0,6,4,2,2,34,14,50,14,6,1
2020,24/10/20,1864,portugal,Porto,Gil Vicente,75.87,44.62,0.8385,0.0375,0.124,2.47,0.36,60.4,21.6,1.0,0.0,1,1,1,9,5,2,3,57,21,58,12,6,0,1,2,0,2,1,1,0,30,8,49,18,7,0
2020,25/10/20,1864,portugal,Moreirense,Maritimo,42.35,41.59,0.4665,0.2651,0.2684,1.41,1.0,34.9,28.2,2.0,1.0,0,2,1,1,3,2,0,27,11,39,9,3,0,2,0,1,6,3,5,2,29,14,58,10,12,1
2020,25/10/20,1864,portugal,Farense,Rio Ave,42.8,51.48,0.384,0.3495,0.2665,1.31,1.24,37.7,17.0,0.0,1.0,0,1,2,5,7,1,2,45,18,42,19,6,0,0,2,1,1,0,4,3,24,9,36,13,3,0
2020,25/10/20,1864,portugal,Famalicao,Boavista,44.53,40.72,0.482,0.2536,0.2644,1.46,0.98,26.3,38.3,2.0,2.0,1,2,0,6,5,3,1,32,12,49,14,9,1,0,1,2,1,1,7,1,46,11,59,15,6,0
2020,25/10/20,1864,portugal,Guimaraes,Sp Braga,53.74,62.61,0.3493,0.386,0.2647,1.25,1.33,37.1,59.4,0.0,1.0,2,1,0,2,0,0,1,27,5,49,10,9,0,2,0,1,6,6,2,1,60,19,39,20,3,0
2020,26/10/20,1864,portugal,Benfica,Belenenses,76.97,40.1,0.8802,0.0211,0.0987,2.64,0.25,72.4,23.2,2.0,0.0,3,0,0,8,2,0,4,54,23,40,17,8,0,0,2,1,1,1,2,0,32,12,54,14,7,0
2020,28/10/20,1864,portugal,Sp Lisbon,Gil Vicente,63.15,44.8,0.6793,0.1071,0.2136,1.82,0.56,63.9,21.1,3.0,1.0,2,1,0,6,3,3,4,41,12,47,15,7,1,0,2,1,1,1,2,1,34,7,50,11,7,0
2020,30/10/20,1864,portugal,Pacos Ferreira,Porto,45.13,76.06,0.1432,0.6566,0.2002,0.84,2.06,20.1,62.6,3.0,2.0,1,1,1,3,3,0,1,46,16,52,20,5,0,1,1,1,5,4,5,2,60,22,56,18,12,1
2020,31/10/20,1864,portugal,Belenenses,Farense,40.22,42.68,0.4168,0.297,0.2862,1.23,1.0,40.5,45.3,1.0,1.0,0,2,1,0,2,1,0,28,9,45,11,4,0,0,1,2,5,2,7,2,40,15,48,14,9,0
2020,31/10/20,1864,portugal,Rio Ave,Moreirense,51.58,43.19,0.5332,0.203,0.2638,1.48,0.8,16.8,20.8,2.0,0.0,1,1,1,2,4,3,1,23,8,42,10,7,0,1,2,0,3,2,2,1,35,17,39,17,8,0
2020,31/10/20,1864,portugal,Maritimo,Nacional,40.75,41.07,0.4528,0.2817,0.2655,1.42,1.06,37.5,34.4,0.0,0.0,1,0,2,5,6,3,1,33,11,46,13,12,1,0,2,1,2,0,3,2,30,8,47,12,8,1
