season,date,league_id,league,HomeTeam,AwayTeam,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,HW,HD,HL,FTHG,FTHGC,HTHGC,HTHG,HS,HST,HF,HC,HY,HR,AW,AD,AL,FTAG,HTAG,FTAGC,HTAGC,AS,AST,AF,AC,AY,AR
2020,13/09/20,1843,france,Monaco,Nantes,67.13,59.71,0.5328,0.2177,0.2495,1.71,1.0,44.0,24.0,2.0,1.0,1,0,0,2,1,0,1,18,5,14,9,3,0,0,0,1,1,0,2,1,7,2,11,4,1,0
2020,13/09/20,1843,france,Paris SG,Marseille,89.65,65.63,0.8129,0.062,0.1252,2.88,0.7,66.3,39.1,0.0,1.0,0,0,1,0,1,1,0,14,4,17,4,6,3,1,0,0,1,1,0,0,5,2,19,2,8,2
2020,15/09/20,1843,france,Montpellier,Lyon,61.17,76.13,0.2453,0.4939,0.2608,1.04,1.59,26.9,56.1,2.0,1.0,1,0,0,2,1,0,1,10,3,13,4,3,1,0,0,1,1,0,2,1,19,7,13,11,2,1
2020,16/09/20,1843,france,Paris SG,Metz,89.11,54.02,0.8877,0.024,0.0883,2.99,0.36,65.7,30.7,1.0,0.0,1,0,0,1,0,0,0,20,8,8,8,3,1,0,0,1,0,0,1,0,7,1,6,2,2,0
2020,17/09/20,1843,france,Marseille,St Etienne,66.58,57.54,0.5487,0.196,0.2553,1.65,0.88,48.8,20.5,0.0,2.0,0,0,1,0,2,1,0,13,2,13,7,2,0,1,0,0,2,1,0,0,12,5,15,6,2,0
2020,18/09/20,1843,france,Lyon,Nimes,75.82,55.55,0.6797,0.1216,0.1987,2.13,0.77,58.1,24.3,0.0,0.0,1,1,1,5,3,2,3,66,22,44,29,8,1,1,0,2,7,3,6,4,46,23,40,20,6,0
2020,19/09/20,1843,france,Lens,Bordeaux,58.87,60.65,0.41,0.3041,0.2859,1.31,1.09,22.2,20.9,2.0,1.0,2,0,1,5,4,2,3,36,13,55,13,8,1,1,2,0,2,2,0,0,17,8,41,13,7,1
2020,19/09/20,1843,france,Rennes,Monaco,67.33,67.61,0.4201,0.3198,0.2602,1.53,1.3,50.3,50.8,2.0,1.0,2,1,0,7,4,2,3,42,16,47,8,10,2,2,1,0,5,3,3,2,43,12,42,18,9,1
2020,20/09/20,1843,france,Nice,Paris SG,57.5,88.64,0.0937,0.7554,0.1509,0.87,2.71,20.1,68.8,0.0,3.0,2,0,1,5,4,2,2,16,5,44,11,10,0,1,0,2,1,0,2,1,42,13,35,14,11,4
2020,20/09/20,1843,france,Brest,Lorient,56.16,52.39,0.4653,0.2769,0.2578,1.6,1.18,29.2,32.8,3.0,2.0,1,0,2,4,7,4,2,48,12,50,21,5,1,1,0,2,5,1,6,4,22,11,60,15,8,0
2020,20/09/20,1843,france,Strasbourg,Dijon,56.73,49.69,0.488,0.2382,0.2739,1.48,0.95,37.2,41.0,1.0,0.0,0,0,3,1,7,1,1,27,8,43,7,7,0,0,0,3,1,1,7,5,22,6,38,10,5,1
2020,20/09/20,1843,france,Metz,Reims,54.9,56.48,0.4032,0.2848,0.312,1.15,0.91,36.3,30.2,2.0,1.0,0,0,3,0,3,1,0,26,6,34,15,6,0,0,1,2,2,2,4,2,20,5,46,4,9,1
2020,20/09/20,1843,france,Montpellier,Angers,61.44,59.99,0.4521,0.2631,0.2848,1.37,0.97,28.5,16.3,4.0,1.0,2,0,1,6,4,1,2,41,19,46,13,5,2,2,0,1,2,1,2,2,44,13,32,15,5,1
2020,20/09/20,1843,france,Nantes,St Etienne,59.14,57.97,0.4221,0.2889,0.289,1.31,1.03,18.4,26.2,2.0,2.0,1,1,1,3,3,1,2,21,8,42,11,7,2,3,0,0,6,2,0,0,35,14,42,14,5,0
2020,20/09/20,1843,france,Marseille,Lille,66.09,69.85,0.3772,0.3421,0.2807,1.29,1.21,48.0,56.1,1.0,1.0,2,0,1,4,4,2,3,25,8,45,11,14,2,2,1,0,3,2,1,0,31,10,35,14,5,1
